industry_code,industry_name,ticker,name,weight,declare_date
801120,食品饮料,001215,千味央厨,0.1071,2021-12-13
801120,食品饮料,001219,青岛食品,0.08,2021-12-13
801120,食品饮料,002216,三全食品,0.2313,2021-12-13
801120,食品饮料,002304,洋河股份,1.282,2021-12-13
801120,食品饮料,002329,皇氏集团,0.1446,2021-12-13
801120,食品饮料,002330,得利斯,0.0983,2021-12-13
801120,食品饮料,002461,珠江啤酒,0.1909,2021-12-13
801120,食品饮料,002495,佳隆股份,0.0875,2021-12-13
801120,食品饮料,002507,涪陵榨菜,0.5058,2021-12-13
801120,食品饮料,002515,金字火腿,0.4207,2021-12-13
801120,食品饮料,002557,洽洽食品,0.3401,2021-12-13
801120,食品饮料,002568,百润股份,0.5624,2021-12-13
801120,食品饮料,002570,贝因美,0.2401,2021-12-13
801120,食品饮料,002582,好想你,0.1797,2021-12-13
801120,食品饮料,002626,金达威,0.2662,2021-12-13
801120,食品饮料,002646,天佑德酒,0.1235,2021-12-13
801120,食品饮料,002650,ST加加,0.2318,2021-12-13
801120,食品饮料,002695,煌上煌,0.1249,2021-12-13
801120,食品饮料,002702,海欣食品,0.1228,2021-12-13
801120,食品饮料,002726,ST龙大,0.1043,2021-12-13
801120,食品饮料,002732,燕塘乳业,0.0576,2021-12-13
801120,食品饮料,002820,桂发祥,0.0819,2021-12-13
801120,食品饮料,002840,华统股份,0.2439,2021-12-13
801120,食品饮料,002847,盐津铺子,0.2807,2021-12-13
801120,食品饮料,002910,庄园牧场,0.0624,2021-12-13
801120,食品饮料,002946,新乳业,0.1878,2021-12-13
801120,食品饮料,002956,西麦食品,0.1466,2021-12-13
801120,食品饮料,002991,甘源食品,0.0859,2021-12-13
801120,食品饮料,003000,劲仔食品,0.1401,2021-12-13
801120,食品饮料,300106,西部牧业,0.0879,2021-12-13
801120,食品饮料,300146,汤臣倍健,0.5832,2021-12-13
801120,食品饮料,300783,三只松鼠,0.2596,2021-12-13
801120,食品饮料,300791,仙乐健康,0.0857,2021-12-13
801120,食品饮料,300898,熊猫乳品,0.0651,2021-12-13
801120,食品饮料,300908,仲景食品,0.0921,2021-12-13
801120,食品饮料,300915,海融科技,0.0438,2021-12-13
801120,食品饮料,300973,立高食品,0.1406,2021-12-13
801120,食品饮料,300997,欢乐家,0.1395,2021-12-13
801120,食品饮料,600059,古越龙山,0.3203,2021-12-13
801120,食品饮料,600073,光明肉业,0.2112,2021-12-13
801120,食品饮料,600084,*ST尼雅,0.1273,2021-12-13
801120,食品饮料,600132,重庆啤酒,0.4848,2021-12-13
801120,食品饮料,600186,莲花控股,1.0045,2021-12-13
801120,食品饮料,600189,泉阳泉,0.179,2021-12-13
801120,食品饮料,600197,伊力特,0.1608,2021-12-13
801120,食品饮料,600199,金种子酒,0.2262,2021-12-13
801120,食品饮料,600238,ST椰岛,0.0902,2021-12-13
801120,食品饮料,600298,安琪酵母,1.3845,2021-12-13
801120,食品饮料,600300,维维股份,0.2288,2021-12-13
