file,rows,dup,bad_ohlc,bad_price,zero_volume,first,last
601818_光大银行,3200,0,0,4,0,2013-06-21,2026-09-01
601882_海天精工,2384,0,0,1,0,2016-11-07,2026-09-01
601899_紫金矿业,3200,0,0,352,0,2013-05-22,2026-09-01
601919_中远海控,3200,0,0,1760,0,2012-11-20,2026-09-01
601939_建设银行,3200,0,0,249,0,2013-07-08,2026-09-01
601988_中国银行,3200,0,0,118,0,2013-07-08,2026-09-01
603128_华贸物流,3200,0,0,19,0,2013-01-08,2026-09-01
603444_吉比特,2346,0,0,9,0,2017-01-04,2026-09-01
603519_立霸股份,2693,0,0,22,0,2015-03-19,2026-09-01
603606_东方电缆,2882,0,0,1,0,2014-10-15,2026-09-01
603688_石英股份,2876,0,0,9,0,2014-10-31,2026-09-01
603799_华友钴业,2783,0,0,1,0,2015-01-29,2026-09-01
